2023/10/11 12:23:45 Starting gRPC server on localhost:55555...
2023/10/11 12:26:25 bob_greenwood requested connected users list
2023/10/11 12:26:25 alice_johnson requested connected users list
2023/10/11 12:26:26 bob_greenwood requested connected users list
2023/10/11 12:26:26 alice_johnson requested connected users list
2023/10/11 12:26:28 bob_greenwood requested connected users list
2023/10/11 12:26:28 alice_johnson requested connected users list
2023/10/11 12:26:28 Room chat request from bob_greenwood: hello alice
2023/10/11 12:26:29 bob_greenwood requested connected users list
2023/10/11 12:26:29 alice_johnson requested connected users list
2023/10/11 12:26:30 User bob_greenwood just liked Message of alice_johnson
2023/10/11 12:26:31 bob_greenwood requested connected users list
2023/10/11 12:26:31 alice_johnson requested connected users list
2023/10/11 12:26:32 bob_greenwood requested connected users list
2023/10/11 12:26:32 alice_johnson requested connected users list
2023/10/11 12:26:33 User bob_greenwood already liked message of alice_johnson and cannot like again
2023/10/11 12:26:33 Client disconnected: bob_greenwood!
2023/10/11 12:26:34 alice_johnson requested connected users list
2023/10/11 12:26:35 alice_johnson requested connected users list
2023/10/11 12:26:37 alice_johnson requested connected users list
2023/10/11 12:26:38 alice_johnson requested connected users list
2023/10/11 12:26:40 User alice_johnson just liked Message of bob_greenwood
2023/10/11 12:26:40 alice_johnson requested connected users list
2023/10/11 12:26:41 alice_johnson requested connected users list
2023/10/11 12:26:42 User alice_johnson already liked message of bob_greenwood and cannot like again
2023/10/11 12:26:42 Client disconnected: alice_johnson!
